Designator,Mid X,Mid Y,Rotation,Layer
_2,30.95,17.007747,0.0,top
,16.95,17.001752,0.0,top
C1,14.8,17.001752,0.0,top
C2,29.6,17.1,0.0,top
C3,20.8,29.7,270.0,top
D1,18.0,13.301752,90.0,top
D13,18.0,21.2,90.0,top
J1,22.2,38.0,180.0,top
J2,5.0,28.27,90.0,top
J3,5.0,16.73,270.0,top
J4,40.0,28.27,90.0,top
J5,40.0,16.73,270.0,top
J6,20.7,17.105,270.0,top
Q2,24.33,25.75,270.0,top
Q3,23.5,9.3,0.0,top
R1,18.0,6.5,270.0,top
R6,25.3,19.7,270.0,top
R7,25.295,14.505,270.0,top
R8,18.0,29.701752,270.0,top
